资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
其他非现金项目;3.79e+08;7e+08;5.357e+09;6.56e+08;9.1e+07;-2.8e+07;6.64e+08;3.4e+07;9.9e+07;6.7e+07;9.44e+08;6.2e+07;7.43e+08;4.09e+08;-1.0193e+10;-2.71e+08;-8.52e+08;-1.73e+08;1.18e+08;-7.7e+07;-7e+06;1.98e+08;-6e+07;-2.75e+08;0
其他资产与负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他经营活动;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资活动带来的净现金流;6.73e+08;-1.97e+08;-5.8e+07;6.71e+08;-1.127e+09;3.193e+09;-2.563e+09;-8.9e+08;-1.498e+09;1.741e+09;-6.17e+08;-6.1e+07;2.525e+09;-6.605e+09;7.204e+09;-3.722e+09;-4.9e+07;-3.807e+09;1.177e+09;-2.037e+09;-1.135e+09;-1.153e+09;-4.398e+09;-1.839e+09;0
固定资产投资;-5.83e+08;-4.5e+08;-7.15e+08;-4.41e+08;-3.93e+08;-3.39e+08;-5.51e+08;-4.09e+08;-3.75e+08;-2.79e+08;-4.93e+08;-3.16e+08;-2.71e+08;-2.03e+08;-1.49e+09;-3.2e+08;-3.02e+08;-2.05e+08;-4.29e+08;-3.55e+08;-4.13e+08;-3.51e+08;-7.78e+08;0;0
收购;-3.72e+08;0;-4.9e+07;0;-4.1e+07;-3.06e+08;-2e+06;-6.21e+08;-1e+07;-1.47e+08;1.29e+08;1.6e+07;2.5e+07;-7.598e+09;1.3891e+10;-3.629e+09;4.44e+08;5.33e+08;0;0;0;0;0;0;0
并购和处置;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
财产和设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
购买投资资产;-3.922e+09;-1.326e+09;-2.342e+09;-2.117e+09;-3.351e+09;-2.929e+09;-5.567e+09;-3.729e+09;-3.988e+09;-2.367e+09;-4.256e+09;-3.804e+09;-3.582e+09;-5.039e+09;-8.713e+09;-3.851e+09;-5.555e+09;-6.825e+09;-4.914e+09;-4.259e+09;-4.808e+09;-4.01e+09;-5.95e+09;-2.89e+09;0
债务/销售投资;5.555e+09;1.848e+09;3.131e+09;3.17e+09;2.544e+09;6.819e+09;3.053e+09;3.912e+09;2.768e+09;4.62e+09;3.882e+09;3.903e+09;6.341e+09;6.287e+09;3.307e+09;3.705e+09;5.47e+09;2.632e+09;6.475e+09;2.628e+09;4.034e+09;3.161e+09;2.176e+09;1.433e+09;0
购买无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他投资活动;-5e+06;-2.69e+08;-8.3e+07;5.9e+07;1.14e+08;-5.2e+07;5.04e+08;-4.3e+07;1.07e+08;-8.6e+07;1.21e+08;1.4e+08;1.2e+07;-5.2e+07;2.09e+08;3.73e+08;-1.06e+08;5.8e+07;4.5e+07;-5.1e+07;5.2e+07;4.7e+07;1.54e+08;3.2e+07;0
融资活动带来的净现金流;-2.967e+09;-2.722e+09;-5.785e+09;5.36e+08;-6.218e+09;1.461e+09;-1.977e+09;-8.35e+08;-3.381e+09;-2.851e+09;-2.407e+09;-2.533e+09;-5.485e+09;5.155e+09;-9.643e+09;1.279e+09;-8.369e+09;1.62e+09;-2.624e+09;-2.915e+09;9.7e+08;-1.421e+09;-1.218e+09;0;0
融资活动带来的现金流;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券偿还;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债券发行;0;0;0;0;0;0;1.071e+09;0;8e+06;0;0;-2e+06;-1e+06;7.941e+09;3.145e+09;0;0;0;0;-1.702e+09;0;0;3.38e+08;5.87e+08;0
债券偿还;-2.005e+09;-1.003e+09;-8.02e+08;0;-1e+06;-3e+08;0;-3.5e+07;-1.5e+09;-8.51e+08;-1e+06;0;-3e+06;-2.902e+09;-6.61e+09;-2e+06;-2e+06;-3e+06;-1.26e+09;0;-9e+06;-5.06e+08;-1.8e+07;-2e+06;0
普通股发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
