zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
汇率变动影响(元),44311000000.00,-53044000000.00,10179000000.00,6650000000.00,601000000.00,-31061000000.00,-11525000000.00,-55535000000.00,-50993000000.00,-64609000000.00,-8235000000.00,-9069000000.00,12789000000.00
现金及现金等价物期初余额(元),1592938000000.00,960142000000.00,960142000000.00,960142000000.00,960142000000.00,983612000000.00,983612000000.00,983612000000.00,983612000000.00,949413000000.00,949413000000.00,949413000000.00,949413000000.00
现金及现金等价物增加(减少)额(元),-78375000000.00,626187000000.00,368783000000.00,40690000000.00,24023000000.00,-23470000000.00,-211936000000.00,-458431000000.00,-352538000000.00,34199000000.00,141224000000.00,60707000000.00,-321326000000.00
现金及现金等价物期末余额(元),1514563000000.00,1586329000000.00,1328925000000.00,1000832000000.00,984165000000.00,960142000000.00,771676000000.00,525181000000.00,631074000000.00,983612000000.00,1090637000000.00,1010120000000.00,628087000000.00
利息支付(元),-,12169000000.00,-,-,-,13877000000.00,-,-,-,138770000000.00,-,-,-
所得税支付(元),-,101092000000.00,-,-,-,106054000000.00,-,-,-,26166000000.00,-,-,-
非现金活动(元),-,21762000000.00,-,-,-,9659000000.00,-,-,-,17057000000.00,-,-,-
公告日期,2018-07-31,2018-06-19,2018-02-02,2017-10-31,2017-08-01,2017-06-15,2017-02-02,2016-11-01,2016-07-29,2016-06-17,2016-01-29,2015-10-29,2015-07-30
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,

lirun
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-04-01,2017-04-01,2017-04-01,2017-04-01,2017-04-01,2016-04-01,2016-04-01,2016-04-01,2016-04-01,2015-04-01,2015-04-01,2015-04-01,2015-04-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),1953624000000.00,8543982000000.00,6592961000000.00,3920644000000.00,1858113000000.00,7603250000000.00,5699646000000.00,3302147000000.00,1613199000000.00,8105712000000.00,6281611000000.00,3700799000000.00,1808059000000.00
主营收入(元),1935435000000.00,8452848000000.00,6523565000000.00,3872353000000.00,1830003000000.00,7523612000000.00,5640967000000.00,3264047000000.00,1593426000000.00,8015676000000.00,6212691000000.00,3653649000000.00,1781000000000.00
其他业务收入(元),18189000000.00,91134000000.00,69396000000.00,48291000000.00,28110000000.00,79638000000.00,58679000000.00,38100000000.00,19773000000.00,90036000000.00,68920000000.00,47150000000.00,27059000000.00
营业成本(元),1112487000000.00,5188259000000.00,3957700000000.00,2349738000000.00,1115092000000.00,4753010000000.00,3559927000000.00,2064891000000.00,1015623000000.00,5166894000000.00,3985905000000.00,2362495000000.00,1134269000000.00
毛利(元),841137000000.00,3355723000000.00,2635261000000.00,1570906000000.00,743021000000.00,2850240000000.00,2139719000000.00,1237256000000.00,597576000000.00,2938818000000.00,2295706000000.00,1338304000000.00,673790000000.00
减：营销费用(元),349761000000.00,1583197000000.00,1159190000000.00,743658000000.00,357379000000.00,1505956000000.00,1088096000000.00,676444000000.00,338097000000.00,1691930000000.00,1258448000000.00,797030000000.00,378722000000.00
减：其他营业费用(元),292156000000.00,1046235000000.00,770836000000.00,468551000000.00,228031000000.00,1059145000000.00,858991000000.00,459238000000.00,202504000000.00,954929000000.00,653333000000.00,357715000000.00,198584000000.00
加：其他收益(元),-4214000000.00,8569000000.00,7441000000.00,3142000000.00,-,3563000000.00,1679000000.00,365000000.00,-783000000.00,2238000000.00,3145000000.00,1366000000.00,423000000.00
营业利润(元),195006000000.00,734860000000.00,712676000000.00,361839000000.00,157611000000.00,288702000000.00,194311000000.00,101939000000.00,56192000000.00,294197000000.00,387070000000.00,184925000000.00,96907000000.00
加：利息收入(元),4734000000.00,6218000000.00,5774000000.00,13037000000.00,4269000000.00,-3085000000.00,-,-2796000000.00,-574000000.00,-12831000000.00,-10266000000.00,-4659000000.00,-1742000000.00
加：利息支出(元),-3318000000.00,-,-,-7246000000.00,-,-,-,-,-,-,-,-,-
加：其他收入(支出)(元),-126000000.00,-7957000000.00,-2394000000.00,-905000000.00,-18000000.00,-4413000000.00,-6613000000.00,-860000000.00,-289000000.00,-5056000000.00,1541000000.00,-2591000000.00,-1491000000.00
加：汇兑损益(元),1011000000.00,-30634000000.00,-25154000000.00,-19266000000.00,-12968000000.00,-22181000000.00,-19230000000.00,-810000000.00,1615000000.00,-20565000000.00,-20302000000.00,-18348000000.00,-5746000000.00
