zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
持续经营净利润(元),2457000000.00,741000000.00,2418000000.00,3456000000.00,3507000000.00,1556000000.00,3941000000.00,4528000000.00,2339000000.00,1130000000.00,4459000000.00,3477000000.00,1646000000.00,958000000.00
净利润(元),2457000000.00,741000000.00,2418000000.00,3456000000.00,3507000000.00,1556000000.00,3941000000.00,4528000000.00,2339000000.00,1130000000.00,4459000000.00,3477000000.00,1646000000.00,958000000.00
减：少数股东损益(元),14000000.00,5000000.00,24000000.00,16000000.00,11000000.00,5000000.00,21000000.00,13000000.00,9000000.00,5000000.00,17000000.00,12000000.00,7000000.00,5000000.00
归属于母公司股东净利润(元),2443000000.00,736000000.00,2394000000.00,3440000000.00,3496000000.00,1551000000.00,3920000000.00,4515000000.00,2330000000.00,1125000000.00,4442000000.00,3465000000.00,1639000000.00,953000000.00
归属于普通股股东净利润(元),2443000000.00,736000000.00,2394000000.00,3440000000.00,3496000000.00,1551000000.00,3920000000.00,4515000000.00,2330000000.00,1125000000.00,4442000000.00,3465000000.00,1639000000.00,953000000.00
每股股息－普通股(元),0.96,0.48,-,1.41,-,0.47,-,1.38,0.92,0.46,-,1.35,0.90,0.45
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),0.91,0.27,0.88,1.26,-,0.56,1.42,1.63,0.84,0.41,1.58,1.23,0.58,0.34
摊薄每股收益－普通股(元),0.90,0.27,0.87,1.25,1.27,0.56,1.41,1.62,0.83,0.40,1.56,1.22,0.57,0.33
其他全面收益(元),62000000.00,124000000.00,316000000.00,281000000.00,-,146000000.00,-1078000000.00,-104000000.00,-,-,175000000.00,-250000000.00,-9000000.00,156000000.00
全面收益总额(元),-,-,-,-,-,-,2842000000.00,4411000000.00,-,1079000000.00,4634000000.00,3227000000.00,1630000000.00,1109000000.00
本公司拥有人占全面收益总额(元),2505000000.00,860000000.00,2710000000.00,3721000000.00,-,1697000000.00,-,-,2392000000.00,-,4617000000.00,3215000000.00,-,-
非控股权益占全面收益总额(元),-,-,-,-,-,-,-,-,-,-,17000000.00,12000000.00,-,-
公告日期,2018-08-07,2018-05-08,2018-02-27,2017-11-07,2017-07-28,2017-05-09,2017-02-28,2016-11-07,2016-08-08,2016-05-09,2016-02-26,2015-11-05,2015-08-06,2015-05-07
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

