zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

加：利息支出(元),-673000000.00,-330000000.00,-848000000.00,-510000000.00,-282000000.00,-139000000.00,-484000000.00,-351000000.00,-233000000.00,-117000000.00,-459000000.00,-344000000.00,-228000000.00,-115000000.00
加：权益性投资损益(元),-,-,-4000000.00,-4000000.00,-2000000.00,-,-96000000.00,-92000000.00,-82000000.00,-68000000.00,-22000000.00,-18000000.00,-11000000.00,-7000000.00
加：其他收入(支出)(元),109000000.00,239000000.00,346000000.00,329000000.00,185000000.00,48000000.00,90000000.00,75000000.00,66000000.00,81000000.00,-256000000.00,-187000000.00,-131000000.00,-130000000.00
持续经营税前利润(元),4520000000.00,1916000000.00,3802000000.00,1931000000.00,1616000000.00,953000000.00,3796000000.00,2634000000.00,2152000000.00,988000000.00,1546000000.00,612000000.00,372000000.00,14000000.00
减：所得税(元),361000000.00,287000000.00,769000000.00,755000000.00,695000000.00,229000000.00,1425000000.00,1012000000.00,782000000.00,475000000.00,950000000.00,498000000.00,337000000.00,71000000.00
持续经营净利润(元),4159000000.00,1629000000.00,3033000000.00,1176000000.00,921000000.00,724000000.00,2371000000.00,1622000000.00,1370000000.00,513000000.00,596000000.00,114000000.00,35000000.00,-57000000.00
税后利润其他项目(元),4000000.00,-,-,-,-,-,-,-,-,-,-,-,-,-
净利润(元),4163000000.00,1629000000.00,3033000000.00,1176000000.00,921000000.00,724000000.00,2371000000.00,1622000000.00,1370000000.00,513000000.00,596000000.00,114000000.00,35000000.00,-57000000.00
归属于母公司股东净利润(元),4163000000.00,1629000000.00,3033000000.00,1176000000.00,921000000.00,724000000.00,2371000000.00,1622000000.00,1370000000.00,513000000.00,596000000.00,114000000.00,35000000.00,-57000000.00
归属于普通股股东净利润(元),4163000000.00,1629000000.00,3033000000.00,1176000000.00,921000000.00,724000000.00,2371000000.00,1622000000.00,1370000000.00,513000000.00,596000000.00,114000000.00,35000000.00,-57000000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),8.58,3.36,6.32,2.46,1.93,1.52,5.01,3.43,2.90,1.09,1.28,0.24,0.07,-0.12
摊薄每股收益－普通股(元),8.34,3.27,6.15,2.39,1.87,1.48,4.90,3.36,2.84,1.07,1.25,0.24,0.07,-0.12
其他全面收益(元),-450000000.00,17000000.00,501000000.00,484000000.00,378000000.00,188000000.00,-262000000.00,202000000.00,152000000.00,109000000.00,-212000000.00,-164000000.00,-106000000.00,-241000000.00
全面收益总额(元),3713000000.00,1646000000.00,3534000000.00,-,1299000000.00,912000000.00,2109000000.00,1824000000.00,1522000000.00,622000000.00,384000000.00,-50000000.00,-71000000.00,-298000000.00
公告日期,2018-07-27,2018-04-27,2018-02-02,2017-10-27,2017-07-28,2017-04-28,2017-02-10,2016-10-28,2016-07-29,2016-04-29,2016-01-29,2015-10-23,2015-07-24,2015-04-24
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

