zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
现金及现金等价物的期初余额(元),105697000000.00,105697000000.00,71902000000.00,71902000000.00,71902000000.00,71902000000.00,43438000000.00,43438000000.00,43438000000.00,43438000000.00,42713000000.00,42713000000.00,42713000000.00,42713000000.00
现金及现金等价物的期末余额其他项目(元),296000000.00,-2219000000.00,-2551000000.00,-2039000000.00,-940000000.00,-126000000.00,2426000000.00,1078000000.00,907000000.00,-46000000.00,371000000.00,215000000.00,-116000000.00,-65000000.00
现金及现金等价物的期末余额(元),104623000000.00,117072000000.00,105697000000.00,87343000000.00,70301000000.00,68861000000.00,71902000000.00,52417000000.00,64206000000.00,56607000000.00,43438000000.00,46714000000.00,48271000000.00,55583000000.00
公告日期,2018-08-15,2018-05-16,2018-03-21,2017-11-15,2017-08-16,2017-05-17,2017-03-22,2016-11-16,2016-08-17,2016-05-18,2016-03-17,2015-11-10,2015-08-12,2015-05-13
会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则
审计意见,-,-,-,-,-,-,-,-,-,-,-,-,-,-
审核师,-,-,-,-,-,-,-,-,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
营业收入计算(元),147203000000.00,73528000000.00,237760000000.00,171368000000.00,106158000000.00,49552000000.00,151938000000.00,108074000000.00,67686000000.00,31995000000.00,102863000000.00,72422000000.00,45828000000.00,22399000000.00
销售成本(元),-75715000000.00,-36486000000.00,-120835000000.00,-85938000000.00,-52409000000.00,-24109000000.00,-67439000000.00,-47201000000.00,-28641000000.00,-13406000000.00,-41631000000.00,-28970000000.00,-17956000000.00,-8965000000.00
毛利计算(元),71488000000.00,37042000000.00,116925000000.00,85430000000.00,53749000000.00,25443000000.00,84499000000.00,60873000000.00,39045000000.00,18589000000.00,61232000000.00,43452000000.00,27872000000.00,13434000000.00
其他收入(元),12228000000.00,8650000000.00,24080000000.00,12234000000.00,8316000000.00,3191000000.00,3594000000.00,2572000000.00,1417000000.00,506000000.00,1886000000.00,1637000000.00,1023000000.00,411000000.00
销售及分销成本(元),-11930000000.00,-5570000000.00,-17652000000.00,-11630000000.00,-6818000000.00,-3158000000.00,-12136000000.00,-7674000000.00,-4397000000.00,-2032000000.00,-7993000000.00,-4969000000.00,-2927000000.00,-1326000000.00
行政开支(元),-19287000000.00,-9430000000.00,-33051000000.00,-24240000000.00,-15182000000.00,-7012000000.00,-22459000000.00,-15550000000.00,-9667000000.00,-4368000000.00,-16825000000.00,-12059000000.00,-7679000000.00,-3668000000.00
