zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-29,2018-03-30,2017-12-31,2017-09-29,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-07-01,2016-04-01,2015-12-31,2015-10-02,2015-07-03,2015-04-03
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
归属于母公司股东净利润(元),3684000000.00,1368000000.00,1248000000.00,4000000000.00,2553000000.00,1182000000.00,6527000000.00,5977000000.00,4931000000.00,1483000000.00,7351000000.00,6114000000.00,4665000000.00,1557000000.00
归属于普通股股东净利润(元),3684000000.00,1368000000.00,1248000000.00,4000000000.00,2553000000.00,1182000000.00,6527000000.00,5977000000.00,4931000000.00,1483000000.00,7351000000.00,6114000000.00,4665000000.00,1557000000.00
每股股息－普通股(元),-,-,-,1.11,0.74,0.37,-,-,0.70,0.35,-,0.99,0.66,0.33
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),0.86,0.32,0.29,0.94,0.60,0.28,-,1.38,1.14,0.34,1.69,1.40,1.07,0.36
摊薄每股收益－普通股(元),0.86,0.32,0.29,0.92,0.59,0.27,1.49,1.37,1.13,0.34,1.67,1.39,1.06,0.35
其他全面收益(元),-,-,938000000.00,1364000000.00,-,-,-,-,-,-,-,-5051000000.00,-2965000000.00,-
全面收益总额(元),-,-,2221000000.00,5364000000.00,3273000000.00,2184000000.00,-,-,4967000000.00,872000000.00,2951000000.00,1079000000.00,1712000000.00,268000000.00
本公司拥有人占全面收益总额(元),-,-,2148000000.00,5362000000.00,3269000000.00,2181000000.00,-,-,4952000000.00,868000000.00,2954000000.00,1078000000.00,1706000000.00,265000000.00
非控股权益占全面收益总额(元),-,-,73000000.00,2000000.00,4000000.00,3000000.00,-,-,15000000.00,4000000.00,-3000000.00,1000000.00,6000000.00,3000000.00
公告日期,2018-07-25,2018-04-24,2018-02-23,2017-10-26,2017-07-27,2017-04-27,2017-02-24,2016-10-27,2016-07-28,2016-04-28,2016-02-25,2015-10-28,2015-07-29,2015-04-30
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

