zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),80920000000.00,250266000000.00,188334000000.00,105306000000.00,50184000000.00,158273000000.00,119694000000.00,66446000000.00,32154000000.00,101143000000.00,76959000000.00,42416000000.00,20245000000.00
营业成本(元),43720000000.00,107044000000.00,74540000000.00,39462000000.00,17460000000.00,59483000000.00,43993000000.00,24867000000.00,11744000000.00,34355000000.00,24793000000.00,13842000000.00,6711000000.00
毛利(元),37200000000.00,143222000000.00,113794000000.00,65844000000.00,32724000000.00,98790000000.00,75701000000.00,41579000000.00,20410000000.00,66788000000.00,52166000000.00,28574000000.00,13534000000.00
减：研发费用(元),11510000000.00,22754000000.00,16068000000.00,9779000000.00,4696000000.00,17060000000.00,12542000000.00,8122000000.00,3988000000.00,13788000000.00,10215000000.00,6466000000.00,3241000000.00
减：营销费用(元),8921000000.00,27299000000.00,19658000000.00,11116000000.00,4850000000.00,16314000000.00,11982000000.00,7492000000.00,3614000000.00,11307000000.00,8446000000.00,4805000000.00,2241000000.00
减：一般及行政费用(元),6645000000.00,16241000000.00,11690000000.00,7118000000.00,3679000000.00,12239000000.00,8845000000.00,5558000000.00,2743000000.00,9205000000.00,6872000000.00,4372000000.00,2244000000.00
减：折旧与摊销(元),2104000000.00,7120000000.00,5791000000.00,3734000000.00,1986000000.00,5122000000.00,3809000000.00,2548000000.00,1251000000.00,2931000000.00,2188000000.00,1375000000.00,647000000.00
减：减值及拨备(元),-,494000000.00,494000000.00,-,-,-,-,-,-,455000000.00,455000000.00,-,-
营业利润(元),8020000000.00,69314000000.00,60093000000.00,34097000000.00,17513000000.00,48055000000.00,38523000000.00,17859000000.00,8814000000.00,29102000000.00,23990000000.00,11556000000.00,5161000000.00
加：利息收入(元),7246000000.00,30495000000.00,28550000000.00,4907000000.00,1472000000.00,8559000000.00,2006000000.00,1169000000.00,750000000.00,52254000000.00,48476000000.00,45532000000.00,27382000000.00
加：利息支出(元),-1213000000.00,-3566000000.00,-2391000000.00,-1547000000.00,-800000000.00,-2671000000.00,-1995000000.00,-1294000000.00,-626000000.00,-1946000000.00,-1436000000.00,-961000000.00,-477000000.00
加：权益性投资损益(元),-655000000.00,-20792000000.00,-20722000000.00,-2270000000.00,-1388000000.00,-5027000000.00,-3583000000.00,-2035000000.00,-,-1730000000.00,-1018000000.00,-523000000.00,-407000000.00
加：其他收入(支出)(元),-83000000.00,4160000000.00,3276000000.00,3624000000.00,1887000000.00,6086000000.00,5646000000.00,2631000000.00,1763000000.00,2058000000.00,2587000000.00,980000000.00,551000000.00
持续经营税前利润(元),13315000000.00,79611000000.00,68806000000.00,38811000000.00,18684000000.00,55002000000.00,40597000000.00,18330000000.00,10701000000.00,79738000000.00,72599000000.00,56584000000.00,32210000000.00
减：所得税(元),5665000000.00,18199000000.00,14035000000.00,7372000000.00,4653000000.00,13776000000.00,9223000000.00,4113000000.00,2091000000.00,8449000000.00,6624000000.00,3065000000.00,1394000000.00
持续经营净利润(元),7650000000.00,61412000000.00,54771000000.00,31439000000.00,14031000000.00,41226000000.00,31374000000.00,14217000000.00,8610000000.00,71289000000.00,65975000000.00,53519000000.00,30816000000.00
税后利润其他项目(元),-,-,-,-,-,-,-,-,-1468000000.00,-,-,-,-
净利润(元),7650000000.00,61412000000.00,54771000000.00,31439000000.00,14031000000.00,41226000000.00,31374000000.00,14217000000.00,7142000000.00,71289000000.00,65975000000.00,53519000000.00,30816000000.00
减：少数股东损益(元),-1070000000.00,-2681000000.00,-1653000000.00,-912000000.00,-652000000.00,-2449000000.00,-1654000000.00,-956000000.00,-408000000.00,-171000000.00,-120000000.00,-78000000.00,-27000000.00
归属于母公司股东净利润(元),8720000000.00,64093000000.00,56424000000.00,32351000000.00,14683000000.00,43675000000.00,33028000000.00,15173000000.00,7550000000.00,71460000000.00,66095000000.00,53597000000.00,30843000000.00
减：归属于优先股净利润及其他项(元),35000000.00,108000000.00,-,-,-,-,-,-,-,-,-,-,-
归属于普通股股东净利润(元),8685000000.00,63985000000.00,56424000000.00,32351000000.00,14683000000.00,43675000000.00,33028000000.00,15173000000.00,7550000000.00,71460000000.00,66095000000.00,53597000000.00,30843000000.00
每股收益,,,,,,,,,,,,,
基本每股收益－普通股(元),3.36,25.06,22.12,12.70,5.77,17.52,13.32,6.13,3.05,29.07,26.86,21.71,12.45
摊薄每股收益－普通股(元),3.30,24.51,21.64,12.43,5.65,16.97,12.85,5.91,2.94,27.89,25.75,20.81,11.92
基本每股收益－ADS(元),-,-,-,-,-,17.52,-,-,-,-,-,-,-
摊薄每股收益－ADS(元),-,-,-,-,-,16.97,-,-,-,-,-,-,-
其他全面收益(元),-,-,-,-,-,1340000000.00,-,-,-,1598000000.00,-,-,-
全面收益总额(元),-,-,-,-,-,42566000000.00,-,-,-,72887000000.00,-,-,-
本公司拥有人占全面收益总额(元),-,-,-,-,-,42955000000.00,-,-,-,72989000000.00,-,-,-
非控股权益占全面收益总额(元),-,-,-,-,-,-389000000.00,-,-,-,-102000000.00,-,-,-
公告日期,2018-08-23,2018-05-04,2018-02-01,2017-11-02,2017-08-17,2017-06-15,2017-01-24,2016-11-02,2016-08-11,2016-05-24,2016-01-28,2015-10-27,2015-08-12
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,

