zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-07-01,2018-04-01,2017-12-31,2017-10-01,2017-07-02,2017-04-02,2016-12-31,2016-10-02,2016-07-03,2016-04-03,2015-12-31,2015-09-27,2015-06-28,2015-03-29
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
非现金活动(元),21000000.00,20000000.00,304000000.00,320000000.00,503000000.00,535000000.00,-338000000.00,-,-,-,-,-,-,-
公告日期,2018-08-09,2018-05-10,2018-02-22,2017-11-09,2017-08-10,2017-05-11,2017-02-23,2016-11-10,2016-08-11,2016-05-12,2016-02-29,2015-11-05,2015-08-06,2015-05-07
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-02,2018-01-02,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-07-01,2018-04-01,2017-12-31,2017-10-01,2017-06-30,2017-04-02,2016-12-31,2016-10-02,2016-07-03,2016-04-03,2015-12-31,2015-09-27,2015-06-28,2015-03-29
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),26373000000.00,12906000000.00,52546000000.00,38843000000.00,25675000000.00,12779000000.00,52824000000.00,39196000000.00,26152000000.00,13005000000.00,48851000000.00,34804000000.00,22717000000.00,10864000000.00
营业成本(元),5479000000.00,2563000000.00,11240000000.00,7980000000.00,5134000000.00,2470000000.00,12329000000.00,9111000000.00,6026000000.00,2851000000.00,9648000000.00,6238000000.00,4018000000.00,1838000000.00
毛利(元),20894000000.00,10343000000.00,41306000000.00,30863000000.00,20541000000.00,10309000000.00,40495000000.00,30085000000.00,20126000000.00,10154000000.00,39203000000.00,28566000000.00,18699000000.00,9026000000.00
减：研发费用(元),3540000000.00,1743000000.00,7657000000.00,5346000000.00,3487000000.00,1708000000.00,7872000000.00,5360000000.00,3478000000.00,1731000000.00,7690000000.00,5342000000.00,3620000000.00,1885000000.00
减：营销费用(元),6954000000.00,3412000000.00,14784000000.00,10233000000.00,6733000000.00,3308000000.00,14837000000.00,10414000000.00,6856000000.00,3385000000.00,14809000000.00,9761000000.00,6491000000.00,3104000000.00
减：折旧与摊销(元),2387000000.00,1196000000.00,4758000000.00,3571000000.00,2394000000.00,1186000000.00,4056000000.00,2934000000.00,1966000000.00,1006000000.00,3728000000.00,2748000000.00,1811000000.00,940000000.00
减：其他营业费用(元),87000000.00,-135000000.00,487000000.00,361000000.00,160000000.00,157000000.00,5379000000.00,988000000.00,1855000000.00,471000000.00,4012000000.00,1397000000.00,156000000.00,14000000.00
营业利润(元),7926000000.00,4127000000.00,13620000000.00,11352000000.00,7767000000.00,3950000000.00,8351000000.00,10389000000.00,5971000000.00,3561000000.00,8965000000.00,9319000000.00,6621000000.00,3082000000.00
加：其他收入(支出)(元),728000000.00,-,-1315000000.00,-,-,1000000.00,-,-2815000000.00,-,-,-,-,-,-
持续经营税前利润(元),8654000000.00,4127000000.00,12305000000.00,11351000000.00,7767000000.00,3951000000.00,8351000000.00,7575000000.00,5971000000.00,3561000000.00,8965000000.00,9319000000.00,6621000000.00,3082000000.00
减：所得税(元),1204000000.00,556000000.00,-9049000000.00,2287000000.00,1560000000.00,821000000.00,1123000000.00,1194000000.00,910000000.00,535000000.00,1990000000.00,2178000000.00,1610000000.00,706000000.00
持续经营净利润(元),7450000000.00,3571000000.00,21353000000.00,9064000000.00,6207000000.00,3130000000.00,7229000000.00,6380000000.00,5060000000.00,3026000000.00,6975000000.00,7141000000.00,5011000000.00,2376000000.00
加：已终止或非持续经营净利润(元),-1000000.00,-1000000.00,2000000.00,1000000.00,1000000.00,-,17000000.00,-,1000000.00,-,11000000.00,14000000.00,6000000.00,5000000.00
净利润(元),7449000000.00,3570000000.00,21355000000.00,9066000000.00,6208000000.00,3130000000.00,7246000000.00,6380000000.00,5061000000.00,3026000000.00,6986000000.00,7155000000.00,5017000000.00,2381000000.00
