zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-10-01,2016-07-02,2016-04-02,2016-01-02,2015-10-03,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,1001,1001,1001,0925,1003,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-10-01,2016-07-02,2016-04-02,2016-01-02,2015-10-03,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,1001,1001,1001,0925,1003,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),29899000000.00,15351000000.00,55137000000.00,42358000000.00,28120000000.00,14784000000.00,55632000000.00,42490000000.00,28213000000.00,15244000000.00,52465000000.00,38953000000.00,25852000000.00,13391000000.00
主营收入(元),29899000000.00,15351000000.00,55137000000.00,42358000000.00,28120000000.00,14784000000.00,55632000000.00,42490000000.00,28213000000.00,15244000000.00,52465000000.00,38953000000.00,25852000000.00,13391000000.00
营业成本(元),16270000000.00,8737000000.00,30306000000.00,23092000000.00,15375000000.00,8406000000.00,29993000000.00,22688000000.00,15487000000.00,8623000000.00,23191000000.00,21009000000.00,14346000000.00,7656000000.00
主营成本(元),16270000000.00,8737000000.00,30306000000.00,23092000000.00,15375000000.00,8406000000.00,29993000000.00,22688000000.00,-,8623000000.00,-,21009000000.00,14346000000.00,7656000000.00
毛利(元),13629000000.00,6614000000.00,24831000000.00,19266000000.00,12745000000.00,6378000000.00,25639000000.00,19802000000.00,12726000000.00,6621000000.00,29274000000.00,17944000000.00,11506000000.00,5735000000.00
减：营销费用(元),4326000000.00,2079000000.00,8176000000.00,5948000000.00,3926000000.00,1985000000.00,8754000000.00,6467000000.00,4162000000.00,2025000000.00,8523000000.00,6117000000.00,4016000000.00,1935000000.00
减：折旧与摊销(元),1473000000.00,742000000.00,2782000000.00,2074000000.00,1363000000.00,687000000.00,2527000000.00,1838000000.00,1212000000.00,607000000.00,2354000000.00,1751000000.00,1176000000.00,592000000.00
减：其他营业费用(元),28000000.00,-,-,-,-,-,-,125000000.00,-,-,5173000000.00,-,-,-
营业利润(元),7802000000.00,3793000000.00,13873000000.00,11244000000.00,7456000000.00,3706000000.00,14358000000.00,11372000000.00,7352000000.00,3989000000.00,13224000000.00,10076000000.00,-,3208000000.00
