zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),63803000000.00,31146000000.00,110855000000.00,78532000000.00,50760000000.00,24750000000.00,90272000000.00,64208000000.00,41757000000.00,20257000000.00,74989000000.00,53660000000.00,34985000000.00,17258000000.00
营业成本(元),27350000000.00,13467000000.00,45583000000.00,31316000000.00,20168000000.00,9795000000.00,35138000000.00,24477000000.00,15778000000.00,7648000000.00,28164000000.00,19976000000.00,12939000000.00,6356000000.00
毛利(元),36453000000.00,17679000000.00,65272000000.00,47216000000.00,30592000000.00,14955000000.00,55134000000.00,39731000000.00,25979000000.00,12609000000.00,46825000000.00,33684000000.00,22046000000.00,10902000000.00
减：研发费用(元),10153000000.00,5039000000.00,16625000000.00,12319000000.00,8114000000.00,3942000000.00,13948000000.00,10326000000.00,6730000000.00,3367000000.00,12282000000.00,8772000000.00,5542000000.00,2753000000.00
减：营销费用(元),7384000000.00,3604000000.00,12893000000.00,8583000000.00,5541000000.00,2644000000.00,10485000000.00,7367000000.00,4802000000.00,2387000000.00,9047000000.00,6368000000.00,4145000000.00,2065000000.00
减：一般及行政费用(元),4037000000.00,2035000000.00,6872000000.00,5096000000.00,3501000000.00,1801000000.00,6985000000.00,4961000000.00,3137000000.00,1513000000.00,6136000000.00,4564000000.00,3087000000.00,1637000000.00
减：其他营业费用(元),5071000000.00,-,2736000000.00,2736000000.00,2736000000.00,-,-,-,-,-,-,-,-,-
营业利润(元),9808000000.00,7001000000.00,26146000000.00,18482000000.00,10700000000.00,6568000000.00,23716000000.00,17077000000.00,11310000000.00,5342000000.00,19360000000.00,13980000000.00,9272000000.00,4447000000.00
加：利息收入(元),-,-,-,-,-,-,-,-,-,-,-,471000000.00,288000000.00,157000000.00
加：其他收入(支出)(元),4950000000.00,3542000000.00,1047000000.00,693000000.00,496000000.00,251000000.00,434000000.00,216000000.00,-62000000.00,-213000000.00,291000000.00,-,-,-
持续经营税前利润(元),14758000000.00,10543000000.00,27193000000.00,19175000000.00,11196000000.00,6819000000.00,24150000000.00,17293000000.00,11248000000.00,5129000000.00,19651000000.00,14451000000.00,9560000000.00,4604000000.00
减：所得税(元),2162000000.00,1142000000.00,14531000000.00,3493000000.00,2246000000.00,1393000000.00,4672000000.00,3148000000.00,2164000000.00,922000000.00,3303000000.00,3026000000.00,2114000000.00,1018000000.00
持续经营净利润(元),12596000000.00,9401000000.00,12662000000.00,15682000000.00,8950000000.00,5426000000.00,19478000000.00,14145000000.00,9084000000.00,4207000000.00,16348000000.00,11425000000.00,7446000000.00,3586000000.00
净利润(元),12596000000.00,9401000000.00,12662000000.00,15682000000.00,8950000000.00,5426000000.00,19478000000.00,14145000000.00,9084000000.00,4207000000.00,16348000000.00,11425000000.00,7446000000.00,3586000000.00
加：股东应占溢利其他项目(元),-,-,-,-,-,-,-,-,-,-,-522000000.00,-522000000.00,-522000000.00,-
归属于母公司股东净利润(元),12596000000.00,9401000000.00,12662000000.00,15682000000.00,8950000000.00,5426000000.00,19478000000.00,14145000000.00,9084000000.00,-,15826000000.00,10903000000.00,6924000000.00,3586000000.00
归属于普通股股东净利润(元),12596000000.00,9401000000.00,12662000000.00,15682000000.00,8950000000.00,5426000000.00,19478000000.00,14145000000.00,9084000000.00,-,15826000000.00,10903000000.00,6924000000.00,3586000000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),18.13,13.53,18.27,22.65,12.94,7.85,28.32,20.59,13.23,6.12,23.11,15.95,10.15,5.27
摊薄每股收益－普通股(元),17.89,13.33,18.00,22.30,12.74,7.73,27.85,20.26,13.01,6.02,22.84,15.77,10.03,5.20
其他全面收益(元),-435000000.00,420000000.00,1410000000.00,1656000000.00,674000000.00,-,-,842000000.00,723000000.00,580000000.00,-1901000000.00,-1619000000.00,-956000000.00,-398000000.00
全面收益总额(元),12161000000.00,9821000000.00,14072000000.00,17338000000.00,9624000000.00,-,-,14987000000.00,9807000000.00,4787000000.00,14447000000.00,9806000000.00,6490000000.00,3188000000.00
公告日期,2018-07-24,2018-04-24,2018-02-06,2017-10-27,2017-07-25,2017-05-02,2017-02-03,2016-11-03,2016-08-04,2016-05-03,2016-02-11,2015-10-29,2015-07-23,2015-04-29
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

