zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

减：所得税(元),-4478000.00,-2445000.00,6861000.00,5207000.00,4022000.00,2358000.00,7022000.00,4242000.00,2523000.00,857000.00,32893000.00,-1166000.00,-1579000.00,-1974000.00
持续经营净利润(元),-58538000.00,-46472000.00,-185560000.00,-143722000.00,-97169000.00,-54647000.00,-144449000.00,-123361000.00,-93100000.00,-45578000.00,-83700000.00,-42379000.00,-29006000.00,-10027000.00
净利润(元),-58538000.00,-46472000.00,-185560000.00,-143722000.00,-97169000.00,-54647000.00,-144449000.00,-123361000.00,-93100000.00,-45578000.00,-83700000.00,-42379000.00,-29006000.00,-10027000.00
归属于母公司股东净利润(元),-58538000.00,-46472000.00,-185560000.00,-143722000.00,-97169000.00,-54647000.00,-144449000.00,-123361000.00,-93100000.00,-45578000.00,-83700000.00,-42379000.00,-29006000.00,-10027000.00
归属于普通股股东净利润(元),-58538000.00,-46472000.00,-185560000.00,-143722000.00,-97169000.00,-54647000.00,-144449000.00,-123361000.00,-93100000.00,-45578000.00,-83700000.00,-42379000.00,-29006000.00,-10027000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),-0.72,-0.57,-2.35,-1.83,-1.25,-0.71,-1.92,-1.65,-1.25,-0.62,-1.17,-0.59,-0.41,-0.14
摊薄每股收益－普通股(元),-0.72,-0.57,-2.35,-1.83,-1.25,-0.71,-1.92,-1.65,-1.25,-0.62,-1.17,-0.59,-0.41,-0.14
其他全面收益(元),-1503000.00,-263000.00,-13584000.00,-10782000.00,-,-,-,-,-,-,-,-,-,-
全面收益总额(元),-60041000.00,-46735000.00,-199144000.00,-154504000.00,-,-55471000.00,-143499000.00,-126284000.00,-95143000.00,-47940000.00,-,-,-28681000.00,-
公告日期,2018-08-06,2018-05-08,2018-02-26,2017-11-07,2017-08-02,2017-05-08,2017-02-23,2016-11-04,2016-08-08,2016-05-09,2016-02-25,2015-11-09,2015-08-07,2015-05-08
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

